iter	RMSE
0	11624.23031
1	11190.93135
2	10798.51909
3	10400.32453
4	10063.33131
5	9725.333405
6	9392.248913
7	9088.09617
8	8820.044734
9	8558.114653
10	8288.905548
11	8059.172585
12	7839.668855
13	7655.652209
14	7459.684219
15	7263.642143
16	7083.769219
17	6915.204132
18	6748.276415
19	6583.399036
20	6429.468714
21	6302.929674
22	6187.847182
23	6066.424291
24	5943.882857
25	5837.456063
26	5735.494742
27	5649.004432
28	5564.385096
29	5484.055776
30	5406.134586
31	5334.692742
32	5263.611832
33	5195.069498
34	5133.04719
35	5079.0022
36	5021.440205
37	4970.152377
38	4926.487464
39	4878.018489
40	4830.045944
41	4787.118133
42	4749.564331
43	4717.002755
44	4689.5555
45	4657.447694
46	4637.550493
47	4609.830348
48	4588.785599
49	4562.821023
50	4546.800507
51	4530.005107
52	4507.745929
53	4488.295306
54	4473.97545
55	4456.136101
56	4441.478817
57	4426.476855
58	4413.179731
59	4399.326591
60	4384.681029
61	4373.840354
62	4362.315353
63	4350.901764
64	4336.50818
65	4325.541363
66	4315.39485
67	4312.517038
68	4302.484633
69	4296.133938
70	4286.400845
71	4278.100981
72	4272.902926
73	4267.849637
74	4257.726681
75	4256.294627
76	4250.823928
77	4245.284666
78	4236.458591
79	4229.007393
80	4224.442508
81	4219.412414
82	4216.670579
83	4210.621738
84	4207.032231
85	4201.077338
86	4199.369961
87	4190.304251
88	4182.625732
89	4177.022562
90	4171.901216
91	4165.881398
92	4158.128582
93	4152.821905
94	4147.526104
95	4143.461153
96	4137.540968
97	4129.605928
98	4128.056111
99	4121.597762
