iter	Passed	Remaining
0	47	4689
1	47	2339
2	48	1565
3	49	1186
4	58	1115
5	59	932
6	60	808
7	61	707
8	62	628
9	62	565
10	78	636
11	81	594
12	83	556
13	85	527
14	86	489
15	87	456
16	87	428
17	88	402
18	89	379
19	89	359
20	90	339
21	90	322
22	91	306
23	92	292
24	93	279
25	93	266
26	94	255
27	95	244
28	95	234
29	96	225
30	97	216
31	97	207
32	98	199
33	98	192
34	99	184
35	99	177
36	100	171
37	101	165
38	101	159
39	102	154
40	103	148
41	104	143
42	104	138
43	105	134
44	106	129
45	106	125
46	107	120
47	107	116
48	108	112
49	108	108
50	109	104
51	109	101
52	110	97
53	111	94
54	111	91
55	112	88
56	112	85
57	113	82
58	114	79
59	114	76
60	115	73
61	116	71
62	116	68
63	117	66
64	118	63
65	118	61
66	119	58
67	119	56
68	120	53
69	120	51
70	121	49
71	122	47
72	122	45
73	123	43
74	123	41
75	124	39
76	124	37
77	125	35
78	125	33
79	126	31
80	127	29
81	127	28
82	128	26
83	129	24
84	129	22
85	130	21
86	130	19
87	131	17
88	132	16
89	132	14
90	133	13
91	133	11
92	134	10
93	135	8
94	135	7
95	136	5
96	137	4
97	138	2
98	139	1
99	139	0
