iter	RMSE
0	11700.0595
1	11330.68561
2	11004.10013
3	10669.39077
4	10381.52686
5	10094.12135
6	9805.104863
7	9537.934894
8	9279.985792
9	9045.0855
10	8802.399127
11	8591.317323
12	8388.373873
13	8216.986393
14	8030.599952
15	7844.609028
16	7670.62128
17	7508.750407
18	7339.909269
19	7176.444848
20	7020.517918
21	6888.485263
22	6770.121274
23	6645.046556
24	6515.053561
25	6404.825881
26	6291.809028
27	6184.542634
28	6089.860113
29	6001.224464
30	5910.939964
31	5832.948661
32	5749.001888
33	5666.873045
34	5591.427855
35	5523.495665
36	5458.339795
37	5397.742524
38	5338.870838
39	5279.545259
40	5218.688383
41	5164.932516
42	5115.115748
43	5071.420327
44	5029.020989
45	4984.654455
46	4950.144852
47	4911.642851
48	4879.156969
49	4841.166292
50	4815.372328
51	4785.444431
52	4756.748128
53	4728.103601
54	4702.965765
55	4678.329721
56	4656.880271
57	4639.213501
58	4618.608284
59	4596.993351
60	4574.874491
61	4557.420024
62	4539.988725
63	4521.408472
64	4503.304608
65	4493.704073
66	4478.798597
67	4466.228201
68	4452.651393
69	4439.327781
70	4424.209591
71	4411.307433
72	4403.023045
73	4392.74493
74	4381.93146
75	4374.148171
76	4364.161501
77	4353.271827
78	4350.184392
79	4341.870857
80	4334.129159
81	4327.342853
82	4322.234336
83	4315.183231
84	4308.627705
85	4300.678093
86	4297.454598
87	4292.358762
88	4283.051964
89	4276.764259
90	4271.203777
91	4264.119732
92	4257.321512
93	4253.73286
94	4248.731285
95	4243.187028
96	4236.049259
97	4225.610612
98	4219.727413
99	4212.858402
100	4208.028661
101	4199.570196
102	4195.285139
103	4192.336006
104	4187.09298
105	4181.424106
106	4178.070975
107	4174.591011
108	4171.35934
109	4167.008626
110	4162.354584
111	4159.351273
112	4157.66179
113	4154.46136
114	4152.578212
115	4145.524737
116	4144.062243
117	4140.966977
118	4137.557718
119	4134.131375
120	4128.811241
121	4122.611041
122	4117.908533
123	4114.055458
124	4104.981102
125	4100.587385
126	4096.585794
127	4093.906358
128	4089.240731
129	4085.053453
130	4083.940031
131	4078.834911
132	4072.344829
133	4066.685657
134	4062.4186
135	4061.309433
136	4056.40121
137	4052.164263
138	4049.858596
139	4043.238268
140	4037.074675
141	4034.132515
142	4031.000486
143	4027.801161
144	4025.231697
145	4022.47161
146	4021.521912
147	4017.19358
148	4014.052895
149	4010.845287
150	4007.868327
151	4004.464473
152	4001.48323
153	3998.035386
154	3997.540428
155	3993.838408
156	3992.200407
157	3987.721639
158	3986.108496
159	3984.108015
160	3982.074056
161	3977.127499
162	3973.664232
163	3969.438068
164	3966.936994
165	3964.119186
166	3960.949116
167	3958.464838
168	3954.673633
169	3953.436092
170	3951.834008
171	3949.664316
172	3947.330218
173	3944.756338
174	3940.475578
175	3937.388543
176	3936.398938
177	3932.826106
178	3929.925556
179	3927.59449
180	3925.87727
181	3924.279693
182	3922.813782
183	3917.996769
184	3913.816217
185	3911.729979
186	3906.894978
187	3904.496183
188	3902.008339
189	3898.33348
190	3896.732135
191	3896.411274
192	3893.713234
193	3892.126591
194	3888.082158
195	3886.774646
196	3883.504834
197	3881.328589
198	3877.426852
199	3876.002777
200	3873.301552
201	3869.180333
202	3867.98472
203	3864.404054
204	3862.584488
205	3860.364127
206	3858.962396
207	3856.831568
208	3855.229379
209	3851.221427
210	3849.482923
211	3845.87725
212	3844.590108
213	3840.595455
214	3838.115703
215	3837.141441
216	3836.241459
217	3833.176044
218	3828.827067
219	3825.07027
220	3820.83469
221	3818.879914
222	3817.747515
223	3814.039088
224	3812.255778
225	3811.337543
226	3808.149209
227	3806.554537
228	3804.316538
229	3800.879756
230	3798.965623
231	3797.75577
232	3794.844487
233	3794.137473
234	3791.217458
235	3790.437445
236	3787.472099
237	3784.607093
238	3783.397272
239	3781.082588
240	3779.121524
241	3775.271135
242	3771.209921
243	3768.300609
244	3766.51744
245	3765.358508
246	3764.492013
247	3762.38635
248	3760.828906
249	3756.609077
250	3755.717829
251	3752.972623
252	3749.597436
253	3747.482243
254	3743.714898
255	3742.90609
256	3740.351836
257	3737.979887
258	3735.219755
259	3734.465056
260	3732.563764
261	3730.723995
262	3728.351599
263	3728.179146
264	3726.30544
265	3723.730881
266	3720.200049
267	3719.458252
268	3717.196978
269	3714.861418
270	3713.233502
271	3710.525435
272	3709.994257
273	3708.035281
274	3706.859851
275	3701.744636
276	3698.240206
277	3694.893744
278	3692.579038
279	3689.527051
280	3686.843418
281	3684.159917
282	3682.302604
283	3680.753725
284	3677.432911
285	3672.995447
286	3670.452074
287	3668.006368
288	3667.296272
289	3664.867877
290	3664.174322
291	3662.525798
292	3661.962332
293	3661.167455
294	3660.304325
295	3658.411428
296	3655.171424
297	3654.255211
298	3649.491543
299	3646.34569
300	3644.83478
301	3643.545138
302	3642.301665
303	3639.831578
304	3637.695194
305	3636.689622
306	3634.477905
307	3632.897054
308	3630.056018
309	3628.978194
310	3627.674965
311	3626.57559
312	3624.625479
313	3624.225377
314	3623.555906
315	3621.256013
316	3619.906222
317	3617.635875
318	3615.604897
319	3613.553415
320	3611.375429
321	3610.795751
322	3609.623385
323	3605.726596
324	3601.570278
325	3599.328605
326	3598.636281
327	3596.596142
328	3595.614488
329	3593.460043
330	3591.66517
331	3589.322813
332	3586.11146
333	3584.825584
334	3580.780112
335	3578.204945
336	3576.72103
337	3575.58501
338	3572.445145
339	3572.075487
340	3571.494638
341	3570.357977
