iter	Passed	Remaining
0	49	48995
1	49	24667
2	50	16671
3	50	12664
4	51	10262
5	52	8664
6	55	7921
7	58	7207
8	58	6478
9	65	6452
10	67	6048
11	68	5680
12	69	5289
13	70	4953
14	71	4709
15	73	4521
16	76	4416
17	77	4217
18	78	4061
19	80	3923
20	81	3792
21	81	3638
22	82	3507
23	83	3400
24	85	3345
25	87	3259
26	87	3160
27	91	3185
28	92	3099
29	94	3045
30	95	2988
31	103	3124
32	105	3098
33	107	3051
34	109	3008
35	109	2940
36	110	2874
37	111	2812
38	111	2753
39	112	2697
40	119	2785
41	119	2732
42	120	2681
43	121	2632
44	121	2585
45	122	2540
46	130	2644
47	131	2600
48	131	2550
49	132	2510
50	132	2464
51	133	2426
52	133	2390
53	134	2358
54	139	2401
55	140	2367
56	141	2334
57	141	2302
58	142	2270
59	143	2241
60	143	2212
61	148	2248
62	149	2222
63	150	2196
64	150	2170
65	151	2140
66	151	2116
67	160	2199
68	161	2175
69	161	2151
70	170	2225
71	170	2202
72	171	2177
73	172	2155
74	173	2142
75	181	2206
76	182	2184
77	182	2163
78	183	2136
79	183	2115
80	184	2095
81	185	2075
82	185	2052
83	199	2172
84	199	2152
85	200	2132
86	209	2199
87	210	2180
88	211	2162
89	212	2145
90	219	2196
91	220	2177
92	223	2179
93	224	2159
94	224	2141
95	225	2122
96	226	2108
97	227	2091
98	227	2074
99	228	2057
100	229	2040
101	229	2023
102	230	2007
103	231	1992
104	231	1976
105	232	1961
106	233	1946
107	233	1931
108	234	1917
109	235	1903
110	235	1889
111	236	1876
112	237	1861
113	237	1848
114	238	1834
115	239	1822
116	239	1807
117	240	1795
118	249	1847
119	250	1835
120	254	1849
121	255	1836
122	255	1824
123	256	1812
124	257	1800
125	257	1788
126	258	1777
127	259	1766
128	259	1755
129	260	1744
130	261	1733
131	261	1722
132	262	1712
133	263	1702
134	264	1692
135	270	1720
136	271	1710
137	272	1700
138	272	1689
139	273	1680
140	274	1670
141	276	1670
142	290	1743
143	293	1746
144	294	1737
145	295	1728
146	298	1729
147	298	1719
148	299	1710
149	300	1700
150	300	1691
151	301	1681
152	302	1672
153	302	1663
154	303	1652
155	303	1644
156	305	1638
157	306	1633
158	308	1632
159	309	1623
160	309	1615
161	310	1606
162	311	1598
163	312	1590
164	312	1582
165	313	1574
166	314	1567
167	314	1559
168	315	1551
169	316	1544
170	319	1547
171	320	1541
172	321	1535
173	321	1528
174	322	1521
175	323	1514
176	325	1512
177	326	1507
178	327	1500
179	327	1493
180	328	1486
181	329	1479
182	329	1472
183	330	1465
184	331	1459
185	333	1458
186	334	1452
187	334	1445
188	335	1439
189	336	1432
190	336	1426
191	337	1418
192	337	1412
193	338	1405
194	339	1399
195	340	1394
196	340	1388
197	341	1382
198	342	1376
199	342	1370
200	343	1365
201	344	1359
202	344	1353
203	345	1347
204	346	1343
205	347	1338
206	348	1334
207	349	1329
208	350	1325
209	351	1322
210	352	1317
211	353	1312
212	354	1308
213	355	1304
214	356	1300
215	357	1295
216	357	1290
217	358	1285
218	359	1280
219	360	1277
220	360	1271
221	361	1267
222	363	1265
223	364	1262
224	367	1265
225	368	1262
226	369	1259
227	371	1259
228	372	1255
229	374	1253
230	375	1250
231	377	1250
232	380	1251
233	380	1246
234	381	1241
235	382	1237
236	384	1239
237	385	1234
238	387	1233
239	387	1228
240	388	1223
241	389	1219
242	390	1215
243	403	1250
244	405	1248
245	406	1245
246	407	1240
247	407	1236
248	408	1232
249	409	1227
250	409	1223
251	410	1218
252	411	1214
253	415	1220
254	416	1215
255	417	1212
256	418	1208
257	428	1231
258	429	1228
259	430	1224
260	430	1220
261	431	1215
262	434	1218
263	439	1224
264	443	1230
265	446	1230
266	448	1230
267	451	1232
268	453	1232
269	456	1234
270	459	1235
271	463	1241
272	465	1240
273	467	1238
274	469	1237
275	472	1239
276	473	1236
277	474	1233
278	476	1232
279	478	1231
280	481	1231
281	483	1230
282	484	1226
283	485	1224
284	488	1224
285	491	1227
286	494	1229
287	496	1227
288	497	1223
289	500	1225
290	501	1221
291	503	1221
292	506	1222
293	509	1222
294	510	1218
295	513	1221
296	515	1219
297	517	1218
298	518	1216
299	523	1220
300	525	1220
301	527	1219
302	528	1215
303	529	1212
304	531	1211
305	534	1212
306	535	1209
307	536	1205
308	537	1200
309	537	1196
310	538	1193
311	540	1190
312	540	1186
313	541	1182
314	542	1178
315	543	1175
316	545	1175
317	546	1171
318	546	1167
319	547	1163
320	548	1159
321	549	1156
322	551	1155
323	551	1151
324	552	1147
325	553	1143
326	553	1139
327	555	1137
328	556	1134
329	557	1131
330	559	1130
331	560	1126
332	560	1123
333	561	1119
334	562	1115
335	562	1112
336	566	1114
337	567	1111
338	568	1107
339	569	1105
340	570	1101
341	570	1098
342	572	1095
343	574	1096
344	575	1092
345	576	1089
346	576	1085
347	577	1082
348	579	1080
349	580	1077
350	581	1074
351	581	1070
352	582	1067
353	582	1063
354	583	1060
355	585	1058
356	586	1057
357	589	1057
358	590	1054
359	591	1051
360	592	1048
361	594	1048
362	595	1044
363	596	1041
364	596	1038
365	598	1036
366	599	1033
367	599	1030
368	601	1028
369	603	1028
370	604	1025
371	605	1021
372	605	1018
373	607	1016
374	627	1046
375	630	1045
376	630	1042
377	631	1039
378	636	1043
379	637	1039
380	637	1036
381	638	1033
382	641	1033
383	642	1029
384	642	1026
385	643	1023
386	644	1020
387	644	1017
388	653	1026
389	654	1023
390	654	1020
391	655	1016
392	656	1013
393	657	1010
394	657	1007
395	658	1004
396	659	1001
397	660	998
398	667	1005
399	668	1002
400	669	999
401	669	996
402	677	1003
403	678	1001
404	682	1002
405	684	1001
406	692	1009
407	693	1006
408	694	1003
409	695	1000
410	696	997
411	697	994
412	697	991
413	699	989
414	700	986
415	700	983
416	702	981
417	702	978
418	703	975
419	704	972
420	704	969
421	706	967
422	707	965
423	708	962
424	710	961
425	711	958
426	712	955
427	712	952
428	718	956
429	719	953
430	720	950
431	725	953
432	726	950
433	726	947
434	748	972
435	749	969
436	749	966
437	750	963
438	751	960
439	752	957
440	764	968
441	765	965
442	765	962
443	766	959
444	767	956
445	773	961
446	774	958
447	775	955
448	776	952
449	782	955
450	789	961
451	790	958
452	791	955
453	797	959
454	798	956
455	799	953
456	800	950
457	800	947
458	803	946
459	810	951
460	811	948
461	812	945
462	812	942
463	813	939
464	815	938
465	822	942
466	823	940
467	824	937
468	825	934
469	825	931
470	832	935
471	833	932
472	836	931
473	837	928
474	837	925
475	853	939
476	853	936
477	854	933
478	855	930
479	856	927
480	863	931
481	864	928
482	864	925
483	865	922
484	872	926
485	872	923
486	877	924
487	878	921
488	878	918
489	879	915
490	880	912
491	880	909
492	881	906
493	882	903
494	882	900
495	883	897
496	884	894
497	884	891
498	885	888
499	886	886
500	886	883
501	887	880
502	888	877
503	888	874
504	889	871
505	890	868
506	890	866
507	891	863
508	891	860
509	892	857
510	893	854
511	893	852
512	894	849
513	895	846
514	896	843
515	896	841
516	897	838
517	898	835
518	898	832
519	899	830
520	900	827
521	900	824
522	901	822
523	902	819
524	902	816
525	903	814
526	904	811
527	904	808
528	905	806
529	906	803
530	906	801
531	907	798
532	908	795
533	909	793
534	909	790
535	910	788
536	911	785
537	911	782
538	912	780
539	913	777
540	913	775
541	914	772
542	915	770
543	915	767
544	916	765
545	917	762
546	917	760
547	918	757
548	919	755
549	919	752
550	920	750
551	921	747
552	921	745
553	922	742
554	923	740
555	923	737
556	924	735
557	925	733
558	926	730
559	926	728
560	927	725
561	928	723
562	928	721
563	929	718
564	930	716
565	930	713
566	931	711
567	932	709
568	932	706
569	933	704
570	934	701
571	934	699
572	935	697
573	936	694
574	936	692
575	937	690
576	938	687
577	938	685
578	940	683
579	941	681
580	941	679
581	942	676
582	943	674
583	943	672
584	956	678
585	956	675
586	958	674
587	960	672
588	962	671
589	967	672
590	970	671
591	970	669
592	971	666
593	972	664
594	972	662
595	974	660
596	980	662
597	982	660
598	985	660
599	986	657
600	987	655
601	988	653
602	991	652
603	991	650
604	992	647
605	998	649
606	999	647
607	1001	645
608	1003	644
609	1003	641
610	1006	640
611	1006	638
612	1007	635
613	1012	636
614	1013	634
615	1014	632
616	1014	629
617	1016	628
618	1020	627
619	1020	625
620	1022	624
621	1023	622
622	1024	619
623	1024	617
624	1031	618
625	1032	616
626	1033	614
627	1036	613
628	1037	611
629	1037	609
630	1038	607
631	1039	605
632	1045	606
633	1048	605
634	1050	603
635	1053	602
636	1053	600
637	1054	598
638	1062	600
639	1063	598
640	1065	596
641	1066	594
642	1067	592
643	1067	590
644	1068	588
645	1069	585
646	1069	583
647	1070	581
648	1071	579
649	1071	577
650	1072	574
651	1082	578
652	1084	576
653	1085	574
654	1087	572
655	1088	570
656	1088	568
657	1094	568
658	1095	567
659	1096	564
660	1098	563
661	1100	562
662	1101	559
663	1103	558
664	1105	556
665	1109	556
666	1109	554
667	1110	551
668	1111	550
669	1114	549
670	1115	546
671	1116	544
672	1117	543
673	1120	542
674	1124	541
675	1126	539
676	1126	537
677	1127	535
678	1128	533
679	1131	532
680	1132	530
681	1134	529
682	1135	527
683	1136	525
684	1137	522
685	1142	523
686	1143	521
687	1145	519
688	1147	517
689	1147	515
690	1148	513
691	1148	511
692	1149	509
693	1150	507
694	1158	508
695	1159	506
696	1160	504
697	1161	502
698	1164	501
699	1166	500
700	1167	498
701	1168	495
702	1168	493
703	1181	496
704	1182	494
705	1184	493
706	1188	492
707	1189	490
708	1189	488
709	1190	486
710	1194	485
711	1196	484
712	1197	481
713	1199	480
714	1199	478
715	1200	476
716	1218	480
717	1220	479
718	1230	480
719	1231	478
720	1233	477
721	1234	475
722	1236	473
723	1237	471
724	1239	470
725	1240	468
726	1248	469
727	1255	469
728	1256	466
729	1265	467
730	1268	466
731	1270	465
732	1270	462
733	1271	460
734	1272	458
735	1272	456
736	1277	455
737	1277	453
738	1278	451
739	1279	449
740	1279	447
741	1280	445
742	1281	443
743	1281	441
744	1297	444
745	1299	442
746	1302	441
747	1306	440
748	1309	438
749	1310	436
750	1312	435
751	1312	432
752	1313	430
753	1314	428
754	1318	427
755	1320	426
756	1321	424
757	1329	424
758	1338	424
759	1338	422
760	1339	420
761	1340	418
762	1341	416
763	1341	414
764	1342	412
765	1343	410
766	1353	411
767	1354	409
768	1355	407
769	1362	407
770	1363	404
771	1365	403
772	1365	401
773	1367	399
774	1368	397
775	1368	395
776	1369	393
777	1370	391
778	1378	391
779	1382	389
780	1384	388
781	1386	386
782	1388	384
783	1390	383
784	1392	381
785	1395	380
786	1397	378
787	1397	376
788	1399	374
789	1400	372
790	1401	370
791	1401	368
792	1409	367
793	1410	366
794	1411	364
795	1412	362
796	1413	359
797	1413	357
798	1414	355
799	1415	353
800	1415	351
801	1416	349
802	1417	347
803	1417	345
804	1418	343
805	1426	343
806	1427	341
807	1428	339
808	1430	337
809	1431	335
810	1437	335
811	1438	333
812	1443	331
813	1445	330
814	1446	328
815	1449	326
816	1450	324
817	1451	323
818	1453	321
819	1454	319
820	1457	317
821	1460	316
822	1460	314
823	1463	312
824	1467	311
825	1469	309
826	1471	307
827	1473	306
828	1476	304
829	1478	302
830	1480	301
831	1481	299
832	1482	297
833	1484	295
834	1486	293
835	1488	291
836	1488	289
837	1490	288
838	1490	286
839	1491	284
840	1492	282
841	1492	280
842	1493	278
843	1494	276
844	1496	274
845	1497	272
846	1497	270
847	1498	268
848	1499	266
849	1499	264
850	1500	262
851	1501	260
852	1502	258
853	1503	257
854	1506	255
855	1506	253
856	1507	251
857	1508	249
858	1509	247
859	1509	245
860	1510	243
861	1523	243
862	1524	242
863	1525	240
864	1525	238
865	1547	239
866	1548	237
867	1550	235
868	1558	234
869	1558	232
870	1559	230
871	1560	229
872	1565	227
873	1565	225
874	1566	223
875	1572	222
876	1573	220
877	1574	218
878	1576	217
879	1577	215
880	1578	213
881	1581	211
882	1582	209
883	1583	207
884	1584	205
885	1586	204
886	1587	202
887	1588	200
888	1590	198
889	1591	196
890	1592	194
891	1592	192
892	1593	190
893	1594	189
894	1594	187
895	1595	185
896	1596	183
897	1597	181
898	1597	179
899	1598	177
900	1599	175
901	1599	173
902	1600	171
903	1615	171
904	1619	170
905	1620	168
906	1621	166
907	1623	164
908	1624	162
909	1629	161
910	1630	159
911	1631	157
912	1631	155
913	1632	153
914	1633	151
915	1637	150
916	1638	148
917	1639	146
918	1639	144
919	1640	142
920	1641	140
921	1641	138
922	1642	137
923	1642	135
924	1643	133
925	1644	131
926	1645	129
927	1645	127
928	1646	125
929	1647	123
930	1647	122
931	1648	120
932	1649	118
933	1649	116
934	1651	114
935	1652	112
936	1653	111
937	1653	109
938	1654	107
939	1655	105
940	1655	103
941	1656	101
942	1656	100
943	1657	98
944	1658	96
945	1658	94
946	1659	92
947	1660	91
948	1660	89
949	1661	87
950	1662	85
951	1662	83
952	1663	82
953	1664	80
954	1664	78
955	1665	76
956	1666	74
957	1666	73
958	1667	71
959	1668	69
960	1668	67
961	1669	65
962	1670	64
963	1670	62
964	1671	60
965	1672	58
966	1672	57
967	1673	55
968	1674	53
969	1675	51
970	1675	50
971	1676	48
972	1677	46
973	1677	44
974	1678	43
975	1679	41
976	1680	39
977	1680	37
978	1681	36
979	1682	34
980	1682	32
981	1683	30
982	1684	29
983	1684	27
984	1685	25
985	1686	23
986	1686	22
987	1687	20
988	1688	18
989	1689	17
990	1689	15
991	1690	13
992	1691	11
993	1691	10
994	1692	8
995	1693	6
996	1693	5
997	1695	3
998	1695	1
999	1696	0
